"","sort.n4gramstats..decreasing...T.","last"
"1",356,"the end of the"
"2",323,"thanks for the follow"
"3",317,"the rest of the"
"4",312,"at the end of"
"5",289,"for the first time"
"6",243,"is going to be"
"7",242,"at the same time"
"8",210,"when it comes to"
"9",193,"is one of the"
"10",176,"one of the most"
"11",173,"going to be a"
"12",165,"in the middle of"
"13",157,"thanks for the rt"
"14",151,"to be able to"
"15",150,"if you want to"
"16",149,"cant wait to see"
"17",145,"thank you for the"
"18",127,"for the rest of"
"19",120,"thank you so much"
"20",119,"its going to be"
"21",118,"i cant wait to"
"22",116,"the top of the"
"23",115,"one of my favorite"
"24",111,"i would like to"
"25",111,"in the united states"
"26",110,"i am going to"
"27",110,"on the other hand"
"28",109,"one of the best"
"29",108,"i dont want to"
"30",105,"a lot of people"
"31",104,"as well as the"
"32",104,"i was going to"
"33",103,"the bottom of the"
"34",102,"by the end of"
"35",98,"said in a statement"
"36",98,"to go to the"
"37",98,"was one of the"
"38",97,"the middle of the"
"39",94,"i wish i could"
"40",92,"going to have to"
"41",90,"a bit of a"
"42",90,"i would love to"
"43",89,"at the university of"
"44",89,"have a lot of"
"45",88,"will be able to"
"46",86,"i want to be"
"47",84,"a member of the"
"48",82,"as much as i"
"49",82,"in front of the"
"50",78,"hope to see you"
"51",78,"i just want to"
"52",77,"the first time in"
"53",76,"a little bit of"
"54",74,"a lot of time"
"55",74,"have a great day"
"56",74,"let me know if"
"57",73,"as part of the"
"58",73,"on my way to"
"59",72,"at the top of"
"60",72,"i dont know what"
"61",72,"i was able to"
"62",71,"i have to say"
"63",71,"it would be a"
"64",71,"thanks so much for"
"65",69,"what do you think"
"66",68,"to get out of"
"67",68,"was going to be"
"68",67,"to be in the"
"69",66,"im not going to"
"70",65,"a few years ago"
"71",65,"are going to be"
"72",65,"there are so many"
"73",63,"are you going to"
"74",63,"be a part of"
"75",63,"i have no idea"
"76",63,"if you have a"
"77",63,"the back of the"
"78",63,"the best way to"
"79",62,"in the block of"
