"","sort.n2gramstats..decreasing...T.","last"
"1",20167,"of the"
"2",18966,"in the"
"3",10131,"to the"
"4",9389,"for the"
"5",9314,"on the"
"6",7465,"to be"
"7",6673,"at the"
"8",5889,"and the"
"9",5469,"in a"
"10",4947,"with the"
"11",4655,"is a"
"12",4383,"it was"
"13",4307,"for a"
"14",4017,"from the"
"15",3965,"i have"
"16",3902,"i was"
"17",3841,"will be"
"18",3773,"it is"
"19",3762,"going to"
"20",3750,"and i"
"21",3727,"with a"
"22",3662,"of a"
"23",3623,"i am"
"24",3418,"is the"
"25",3407,"have a"
"26",3385,"one of"
"27",3300,"if you"
"28",3253,"to get"
"29",3123,"as a"
"30",2930,"want to"
"31",2899,"that the"
"32",2898,"by the"
"33",2830,"have to"
"34",2701,"and a"
"35",2681,"this is"
"36",2654,"to do"
"37",2625,"out of"
"38",2614,"was a"
"39",2599,"the first"
"40",2570,"i think"
"41",2550,"to see"
"42",2526,"to a"
"43",2521,"on a"
"44",2514,"that i"
"45",2442,"all the"
"46",2307,"but i"
"47",2291,"the same"
"48",2285,"to make"
"49",2266,"a lot"
"50",2226,"i love"
"51",2207,"have been"
"52",2175,"i dont"
"53",2173,"you can"
"54",2168,"be a"
"55",2139,"he was"
"56",2094,"need to"
"57",2093,"thanks for"
"58",2076,"you are"
"59",2062,"has been"
"60",2054,"of my"
"61",2006,"would be"
"62",1985,"a few"
"63",1982,"more than"
"64",1978,"about the"
"65",1974,"as the"
"66",1973,"in my"
"67",1954,"when i"
"68",1908,"i had"
"69",1895,"a great"
"70",1887,"to go"
"71",1875,"he said"
"72",1873,"you have"
"73",1866,"into the"
"74",1835,"to have"
"75",1828,"a good"
"76",1828,"i can"
"77",1819,"the best"
"78",1814,"a little"
"79",1800,"had a"
"80",1785,"thank you"
"81",1747,"i know"
"82",1735,"i just"
"83",1701,"we are"
"84",1691,"they are"
"85",1671,"there is"
"86",1577,"is not"
"87",1563,"the new"
"88",1556,"the world"
"89",1553,"part of"
"90",1547,"so i"
"91",1534,"that is"
"92",1533,"there are"
"93",1528,"we have"
"94",1517,"i will"
"95",1515,"over the"
"96",1507,"a new"
"97",1505,"like a"
"98",1500,"so much"
"99",1486,"lot of"
"100",1472,"do you"
"101",1468,"trying to"
"102",1463,"the most"
"103",1438,"was the"
"104",1430,"i would"
"105",1426,"but the"
"106",1399,"on my"
"107",1392,"at least"
"108",1390,"all of"
"109",1382,"are you"
"110",1374,"the way"
"111",1351,"as well"
"112",1335,"back to"
"113",1326,"and then"
"114",1304,"you know"
"115",1301,"the last"
"116",1300,"able to"
"117",1299,"some of"
"118",1284,"when you"
"119",1274,"i want"
"120",1274,"if i"
"121",1267,"for me"
"122",1242,"is that"
"123",1234,"said the"
"124",1221,"can be"
"125",1215,"the other"
"126",1210,"of his"
"127",1200,"the time"
"128",1196,"up to"
"129",1195,"at a"
"130",1193,"to me"
"131",1191,"and it"
"132",1187,"in this"
"133",1183,"that he"
"134",1182,"to take"
"135",1173,"according to"
"136",1166,"the next"
"137",1165,"i cant"
"138",1163,"kind of"
"139",1156,"time to"
"140",1154,"go to"
"141",1151,"had to"
"142",1149,"way to"
"143",1138,"of this"
"144",1131,"to my"
"145",1125,"the day"
"146",1114,"the only"
"147",1113,"right now"
"148",1112,"i could"
"149",1109,"its a"
"150",1099,"this year"
"151",1096,"what i"
"152",1088,"should be"
"153",1087,"that was"
"154",1081,"be the"
"155",1067,"in his"
"156",1066,"when the"
"157",1059,"to say"
"158",1051,"the end"
"159",1045,"he is"
"160",1042,"has a"
"161",1042,"they were"
"162",1025,"but it"
"163",1023,"of course"
"164",1018,"a bit"
"165",1013,"that you"
"166",1012,"as i"
"167",1012,"she was"
"168",998,"get a"
"169",997,"i need"
"170",996,"i got"
"171",996,"that it"
"172",992,"i do"
"173",988,"me to"
"174",980,"to work"
"175",978,"after the"
"176",966,"from a"
"177",965,"through the"
"178",963,"and that"
"179",963,"would have"
"180",958,"of our"
"181",957,"with my"
"182",943,"which is"
"183",941,"how to"
"184",939,"that we"
"185",936,"new york"
"186",935,"up the"
"187",920,"for you"
"188",920,"like the"
"189",917,"it to"
"190",914,"not a"
"191",910,"like to"
"192",908,"said he"
"193",906,"are the"
"194",906,"wanted to"
"195",904,"of them"
"196",904,"the city"
"197",898,"into a"
"198",888,"the state"
"199",887,"cant wait"
"200",886,"im not"
"201",886,"we can"
"202",885,"and we"
"203",881,"this week"
"204",880,"it would"
"205",880,"out the"
"206",878,"for my"
"207",876,"have the"
